# date time,time scale,cur mean,cur std,cur max,cur min,cur peak mean,cur peak std,cur peak count,cur peak width mean,cur peak width std,cur gap mean,cur gap std, vol mean,vol std,vol max,vol min,vol peak mean,vol peak std,vol peak count,vol peak width mean,vol peak width std,vol gap mean,vol gap std,score,label
3.641256,0.000000,0.478150,0.272187,0.844592,0.020309,0.844592,0.000000,1.000000,42.186216,0.000000,0.000000,0.000000,0.254772,0.226400,0.844749,0.036530,0.689498,0.041096,2.000000,17.873022,11.248025,7.000000,0.000000,0.165217,4.000000
3.681257,0.001958,0.462525,0.282923,1.000000,0.195585,0.986755,0.002498,3.000000,6.968997,0.149627,29.000000,1.000000,0.492922,0.299014,1.000000,0.036530,0.979452,0.015259,3.000000,13.688600,4.918700,29.000000,1.000000,0.465217,4.000000
3.721257,0.003916,0.530834,0.260691,0.996468,0.230905,0.994996,0.001501,3.000000,7.098154,0.027104,29.500000,2.500000,0.470479,0.269335,0.920091,0.068493,0.899543,0.014796,3.000000,16.556028,3.708667,27.500000,3.500000,0.413043,4.000000
3.761258,0.005873,0.582402,0.254609,0.996468,0.227373,0.994408,0.002318,3.000000,6.852456,0.261375,27.000000,5.000000,0.418630,0.317299,0.938356,0.047945,0.928463,0.013991,3.000000,12.594497,0.224291,28.000000,4.000000,0.491304,4.000000
3.801259,0.007831,0.564318,0.251309,0.999117,0.226490,0.992936,0.004502,3.000000,7.023567,0.048296,28.000000,0.000000,0.397831,0.286260,0.931507,0.038813,0.910959,0.021498,3.000000,11.117816,1.558807,27.000000,2.000000,0.530435,4.000000
3.841259,0.009789,0.584291,0.261123,0.996468,0.227373,0.992274,0.002887,4.000000,6.860082,0.316514,27.666667,1.699673,0.439406,0.291635,0.915525,0.047945,0.896119,0.019739,4.000000,11.385496,2.597486,26.333333,1.699673,0.543478,4.000000
3.881260,0.011747,0.572962,0.250613,1.000000,0.224724,0.997645,0.001665,3.000000,7.022804,0.014464,28.000000,2.000000,0.391164,0.276439,0.915525,0.052511,0.895738,0.015854,3.000000,11.722259,1.997519,28.000000,0.000000,0.569565,4.000000
3.921260,0.013704,0.565395,0.271078,1.000000,0.227373,0.993525,0.005064,3.000000,7.051579,0.046423,28.000000,1.000000,0.436164,0.279536,0.885845,0.041096,0.866819,0.013741,3.000000,13.059400,0.555742,28.500000,0.500000,0.504348,4.000000
3.961261,0.015662,0.587550,0.257141,0.999117,0.224724,0.994702,0.003304,3.000000,6.781794,0.301502,29.500000,2.500000,0.404155,0.289040,0.922374,0.038813,0.904870,0.020106,3.000000,13.600748,0.239859,29.000000,1.000000,0.465217,4.000000
4.001262,0.017620,0.574764,0.252950,0.999117,0.226490,0.996174,0.002532,3.000000,7.030417,0.034546,26.500000,0.500000,0.418014,0.277740,0.915525,0.059361,0.911720,0.005381,3.000000,12.623600,0.773786,25.000000,3.000000,0.556522,4.000000
4.041262,0.019578,0.575002,0.261300,0.992053,0.232671,0.986755,0.007723,4.000000,6.807976,0.245705,27.666667,2.494438,0.462283,0.282982,0.913242,0.043379,0.902397,0.012440,4.000000,11.800288,2.078654,26.666667,3.399346,0.478261,4.000000
4.081263,0.021535,0.585051,0.255294,0.984989,0.217660,0.974834,0.007105,4.000000,6.453525,0.521461,26.666667,1.247219,0.437831,0.289174,0.952055,0.045662,0.918950,0.020706,4.000000,9.801534,3.077799,27.000000,2.160247,0.426087,4.000000
4.121264,0.023493,0.526305,0.249453,0.965563,0.200883,0.960559,0.004800,3.000000,6.978969,0.017823,27.000000,1.000000,0.424110,0.259023,0.899543,0.066210,0.894216,0.003881,3.000000,11.042362,1.791706,26.000000,2.000000,0.569565,4.000000
4.161264,0.025451,0.532283,0.263273,0.962914,0.170861,0.950846,0.004346,3.000000,7.004215,0.020621,26.500000,1.500000,0.463950,0.262855,0.894977,0.045662,0.878995,0.014796,3.000000,10.658819,1.664715,26.000000,3.000000,0.569565,4.000000
4.201265,0.027409,0.519841,0.254292,0.950552,0.154967,0.936865,0.007910,4.000000,6.879844,0.390928,26.000000,2.160247,0.465228,0.260880,0.867580,0.066210,0.864726,0.001893,4.000000,10.781673,1.576577,26.333333,2.357023,0.504348,4.000000
4.241265,0.029366,0.503338,0.251555,0.934658,0.144371,0.926711,0.006021,4.000000,6.981332,0.349821,27.000000,1.632993,0.436164,0.269369,0.881278,0.045662,0.853881,0.019440,4.000000,11.337861,2.164084,26.333333,2.494438,0.608696,4.000000
4.281266,0.031324,0.506852,0.237885,0.915232,0.149669,0.910154,0.004159,4.000000,7.069179,0.274766,27.000000,0.000000,0.408173,0.274829,0.842466,0.027397,0.824201,0.013410,4.000000,11.303241,2.574469,25.333333,2.624669,0.673913,0.000000
4.321267,0.033282,0.468574,0.237399,0.902870,0.143488,0.895806,0.001249,3.000000,7.407099,0.058854,26.000000,2.000000,0.385114,0.274193,0.824201,0.020548,0.816591,0.005695,3.000000,12.916349,0.544316,26.000000,3.000000,0.908696,0.000000
4.361267,0.035240,0.450843,0.238078,0.898455,0.124062,0.891979,0.005064,3.000000,7.360982,0.061349,26.500000,1.500000,0.384087,0.268139,0.828767,0.022831,0.820396,0.005992,3.000000,13.299892,0.433835,25.500000,3.500000,0.908696,0.000000
4.401268,0.037197,0.445157,0.252320,0.891391,0.121413,0.883223,0.006066,4.000000,7.364280,0.074986,26.000000,1.414214,0.404224,0.268135,0.815068,0.013699,0.800799,0.012121,4.000000,12.594610,1.531383,26.666667,3.399346,0.882609,0.000000
4.441268,0.039155,0.462799,0.239699,0.881678,0.130243,0.879691,0.001696,4.000000,7.138894,0.338437,26.000000,0.816497,0.378744,0.279077,0.796804,0.011416,0.787100,0.010754,4.000000,11.708366,3.021019,24.666667,2.054805,0.869565,0.000000
4.481269,0.041113,0.457978,0.241068,0.884327,0.134658,0.880795,0.001908,3.000000,7.356862,0.101222,26.000000,1.000000,0.370091,0.279327,0.840183,0.013699,0.802131,0.028475,3.000000,12.678962,0.100766,25.000000,3.000000,0.804348,0.000000
4.521269,0.043071,0.439444,0.232385,0.889625,0.123179,0.886681,0.003002,3.000000,7.340301,0.015927,28.500000,0.500000,0.364384,0.270259,0.817352,0.015982,0.796804,0.015259,3.000000,12.768761,0.416212,29.000000,1.000000,0.830435,0.000000
4.561270,0.045028,0.449254,0.239107,0.885210,0.140839,0.881383,0.002914,3.000000,7.282684,0.017396,25.500000,1.500000,0.374658,0.271018,0.808219,0.013699,0.792998,0.012129,3.000000,13.060030,0.774885,25.500000,0.500000,0.921739,0.000000
4.601271,0.046986,0.442596,0.252934,0.885210,0.123179,0.883664,0.001576,4.000000,7.316630,0.077814,27.000000,1.414214,0.398881,0.275428,0.817352,0.009132,0.802511,0.012348,4.000000,11.793613,3.124211,26.666667,3.299832,0.791304,0.000000
4.641272,0.048944,0.427982,0.236727,0.888742,0.122296,0.881678,0.005768,3.000000,7.388726,0.154282,28.000000,2.000000,0.346119,0.273106,0.803653,0.013699,0.787671,0.011642,3.000000,13.579479,0.789664,26.500000,2.500000,0.869565,0.000000
4.681272,0.050902,0.438066,0.245090,0.888742,0.135541,0.882561,0.004502,3.000000,7.379242,0.087462,27.000000,1.000000,0.386598,0.262762,0.821918,0.020548,0.803653,0.017085,3.000000,12.013798,0.670370,27.000000,3.000000,0.960870,0.000000
4.721272,0.052859,0.446640,0.249537,0.886093,0.124945,0.883664,0.001448,4.000000,7.096995,0.381777,29.000000,1.414214,0.383607,0.283797,0.810502,0.013699,0.796233,0.009465,4.000000,11.964745,3.394199,29.333333,3.858612,0.713043,0.000000
4.761273,0.054817,0.412759,0.232992,0.883444,0.117881,0.881383,0.001814,3.000000,7.439977,0.015662,28.500000,2.500000,0.343676,0.266143,0.821918,0.011416,0.803653,0.013049,3.000000,13.461417,0.283684,28.500000,0.500000,0.700000,0.000000
4.801274,0.056775,0.444300,0.248821,0.878146,0.122296,0.875497,0.002163,3.000000,7.342122,0.059444,27.500000,1.500000,0.389498,0.270553,0.831050,0.011416,0.802131,0.020786,3.000000,13.129052,1.241524,28.500000,0.500000,0.895652,0.000000
4.841274,0.058733,0.419894,0.241476,0.886976,0.121413,0.885210,0.001907,3.000000,7.297542,0.068415,29.000000,0.000000,0.342534,0.274614,0.799087,0.011416,0.791476,0.006547,3.000000,14.283733,0.649390,29.000000,0.000000,0.673913,0.000000
4.881275,0.060690,0.444680,0.240846,0.882561,0.127594,0.875791,0.000416,3.000000,7.412890,0.065902,27.500000,1.500000,0.386461,0.266121,0.833333,0.015982,0.799848,0.023678,3.000000,12.819863,0.316017,28.000000,1.000000,0.869565,0.000000
4.921276,0.062648,0.436918,0.255446,0.892274,0.113466,0.886093,0.005901,3.000000,7.364089,0.116104,28.500000,1.500000,0.368059,0.283135,0.799087,0.009132,0.780061,0.014238,3.000000,14.120310,0.286594,28.500000,1.500000,0.739130,0.000000
4.961277,0.064606,0.397413,0.239395,0.880795,0.121413,0.879029,0.001442,3.000000,7.443636,0.081093,29.500000,3.500000,0.360274,0.263006,0.801370,0.018265,0.788432,0.010267,3.000000,14.174815,0.553539,31.500000,2.500000,0.713043,0.000000
5.001277,0.066564,0.438790,0.254305,0.885210,0.118764,0.879691,0.004519,4.000000,7.006449,0.819442,27.666667,0.942809,0.408014,0.271006,0.842466,0.013699,0.809931,0.021196,4.000000,9.694581,3.157432,27.000000,3.559026,0.713043,0.000000
5.041277,0.068521,0.408821,0.236136,0.887859,0.117881,0.884327,0.003815,3.000000,7.385245,0.009828,27.000000,3.000000,0.337100,0.274630,0.840183,0.009132,0.823440,0.011985,3.000000,13.760862,0.589291,28.500000,1.500000,0.700000,0.000000
5.081278,0.070479,0.438384,0.255612,0.886092,0.119647,0.882781,0.002953,4.000000,6.994715,0.613669,28.333333,0.471405,0.387603,0.279619,0.812785,0.013699,0.797945,0.014485,4.000000,12.280964,3.783366,27.666667,2.494438,0.778261,0.000000
5.121279,0.072437,0.407452,0.236788,0.888742,0.119647,0.884327,0.003605,3.000000,7.424503,0.016602,27.500000,2.500000,0.356370,0.260292,0.812785,0.009132,0.795282,0.021606,3.000000,13.297944,0.888259,28.500000,1.500000,0.804348,0.000000
5.161279,0.074395,0.428848,0.253532,0.887859,0.127594,0.882561,0.004326,3.000000,7.344727,0.098975,28.500000,1.500000,0.375114,0.291142,0.940639,0.018265,0.849315,0.065537,3.000000,12.730034,1.627211,29.000000,2.000000,0.713043,0.000000
5.201280,0.076352,0.415135,0.238576,0.882561,0.122296,0.879617,0.003556,3.000000,7.414851,0.042648,29.000000,2.000000,0.372626,0.258470,0.801370,0.011416,0.792998,0.008810,3.000000,13.017789,0.736818,29.000000,1.000000,0.830435,0.000000
5.241281,0.078310,0.402040,0.239899,0.883444,0.116115,0.880500,0.003556,3.000000,7.443365,0.081558,30.500000,1.500000,0.338173,0.276933,0.835616,0.006849,0.816590,0.013486,3.000000,14.673633,0.124780,29.000000,1.000000,0.673913,0.000000
5.281281,0.080268,0.434305,0.255244,0.887859,0.124945,0.884621,0.002532,3.000000,7.343153,0.020147,28.500000,0.500000,0.397945,0.269346,0.785388,0.015982,0.778539,0.004932,3.000000,12.112162,3.738822,29.000000,3.000000,0.778261,0.000000
5.321282,0.082226,0.410808,0.238481,0.886976,0.114349,0.885210,0.001249,3.000000,7.436008,0.034896,30.000000,0.000000,0.335708,0.275161,0.821918,0.011416,0.812024,0.007058,3.000000,14.582951,0.175419,30.000000,0.000000,0.621739,4.000000
5.361282,0.084183,0.437095,0.258542,0.887859,0.106402,0.882855,0.000833,3.000000,7.366371,0.146750,29.000000,1.000000,0.381438,0.284569,0.817352,0.011416,0.801370,0.012224,3.000000,14.393617,0.205054,29.000000,3.000000,0.700000,0.000000
5.401283,0.086141,0.404282,0.237916,0.885210,0.114349,0.882561,0.002163,3.000000,7.419429,0.029578,29.500000,0.500000,0.358173,0.258127,0.794521,0.013699,0.789193,0.005992,3.000000,13.989800,0.661648,29.500000,0.500000,0.686957,0.000000
5.441284,0.088099,0.420256,0.246811,0.883444,0.112583,0.881383,0.002914,3.000000,7.352000,0.134285,29.000000,0.000000,0.351552,0.277342,0.796804,0.011416,0.779300,0.012689,3.000000,14.382540,0.399950,29.000000,1.000000,0.726087,0.000000
5.481284,0.090057,0.418808,0.244233,0.883444,0.110817,0.881089,0.002203,3.000000,7.354968,0.024358,30.000000,0.000000,0.379475,0.257573,0.792237,0.018265,0.780061,0.002153,3.000000,13.360560,0.693801,29.000000,4.000000,0.686957,0.000000
5.521285,0.092014,0.414931,0.237835,0.881678,0.116998,0.879323,0.002203,3.000000,7.335475,0.060049,28.500000,1.500000,0.341393,0.275397,0.819635,0.013699,0.798326,0.016072,3.000000,14.010470,0.314891,26.500000,1.500000,0.804348,0.000000
5.561285,0.093972,0.433395,0.252207,0.883444,0.119647,0.878440,0.003700,3.000000,7.446797,0.085964,26.500000,2.500000,0.392785,0.262846,0.794521,0.020548,0.785388,0.001864,3.000000,13.053098,1.255934,26.000000,3.000000,0.882609,0.000000
5.601286,0.095930,0.408459,0.237462,0.884327,0.126711,0.881089,0.002532,3.000000,7.418017,0.112677,28.000000,1.000000,0.332009,0.270200,0.812785,0.015982,0.797565,0.014238,3.000000,13.933230,0.525484,29.500000,1.500000,0.817391,0.000000
5.641287,0.097888,0.437501,0.255339,0.884327,0.114349,0.882561,0.001249,3.000000,7.249673,0.224335,29.000000,1.000000,0.394749,0.278879,0.821918,0.015982,0.794521,0.001864,3.000000,11.670853,3.387936,31.500000,2.500000,0.726087,0.000000
5.681287,0.099845,0.407965,0.237933,0.888742,0.119647,0.879029,0.006953,3.000000,7.484475,0.085825,30.000000,1.000000,0.351484,0.267793,0.805936,0.013699,0.800609,0.004691,3.000000,14.591129,0.038133,29.000000,4.000000,0.673913,0.000000
