# date time,time scale,cur mean,cur std,cur max,cur min,cur peak mean,cur peak std,cur peak count,cur peak width mean,cur peak width std,cur gap mean,cur gap std, vol mean,vol std,vol max,vol min,vol peak mean,vol peak std,vol peak count,vol peak width mean,vol peak width std,vol gap mean,vol gap std,score,label
2.52483,0,0.476764,0.278984,0.845475,0,0.843709,0.001766,2,25.799713,16.862222,20,0,0.288333,0.248323,0.761557,0.024331,0.761557,0,1,36.023563,0,0,0,0.178261,4
2.56483,0.00138,0.436053,0.272956,0.997351,0.192053,0.994408,0.002532,3,6.719203,0.159577,30.5,0.5,0.456594,0.317537,1,0.036496,0.983779,0.012138,3,16.761947,1.245017,31.5,1.5,0.465217,4
2.604831,0.002761,0.515656,0.273824,0.998234,0.22649,0.992936,0.003746,3,7.04503,0.035714,30,4,0.530243,0.265579,0.96837,0.082725,0.948094,0.019295,3,11.980893,2.551682,29,3,0.43913,4
2.644831,0.004141,0.576159,0.237159,0.992053,0.227373,0.991759,0.000416,3,6.714655,0.415993,31,2,0.375304,0.312635,0.987835,0.029197,0.957827,0.028398,3,12.000935,0.331907,30,0,0.426087,4
2.684832,0.005522,0.578137,0.264595,0.997351,0.228256,0.992936,0.003143,3,7.038015,0.011686,28.5,0.5,0.455912,0.314891,0.958638,0.034063,0.945661,0.006977,3,11.864676,0.412584,29.5,2.5,0.478261,4
2.724832,0.006902,0.593166,0.24983,0.992936,0.230905,0.9883,0.001807,4,6.794202,0.272281,28.5,0.5,0.424112,0.309568,0.965937,0.03163,0.96026,0.005,3,11.649932,1.823728,28,0,0.478261,4
2.764832,0.008282,0.564689,0.260188,1,0.228256,0.996468,0.003304,3,6.972462,0.031968,28,1,0.432701,0.296575,0.946472,0.036496,0.931063,0.011296,3,11.515169,2.047491,27,1,0.556522,4
2.804833,0.009663,0.590773,0.259378,0.995585,0.224724,0.991832,0.004064,4,6.762174,0.280089,27.666667,2.494438,0.446521,0.311242,0.93674,0.041363,0.924574,0.015674,4,11.763954,3.240769,28,1.414214,0.504348,4
2.844833,0.011043,0.543744,0.257528,0.998234,0.22649,0.994702,0.003304,3,6.989167,0.04392,27.5,0.5,0.431119,0.281696,0.939173,0.06326,0.930252,0.012617,3,13.857036,1.675758,26.5,2.5,0.569565,4
2.884834,0.012424,0.59479,0.255795,0.992936,0.230022,0.990508,0.002106,4,6.488166,0.644243,27.666667,2.054805,0.455572,0.307978,0.946472,0.038929,0.928467,0.015888,5,11.00605,3.117239,28,4.320494,0.4,4
2.924834,0.013804,0.558543,0.254255,0.993819,0.224724,0.989993,0.003251,3,7.071766,0.006605,27.5,2.5,0.420365,0.282018,0.931873,0.048662,0.922141,0.007946,3,12.131122,1.804515,28,5,0.582609,4
2.964835,0.015185,0.596035,0.260335,0.996468,0.230022,0.989404,0.009261,4,6.692866,0.291178,29,2.44949,0.470195,0.293186,0.944039,0.055961,0.918491,0.016001,4,11.052756,3.053435,28.666667,1.247219,0.413043,4
3.004835,0.016565,0.544918,0.25373,0.98234,0.189404,0.970567,0.008601,3,6.903246,0.046182,26.5,1.5,0.428175,0.286614,0.909976,0.029197,0.903488,0.004588,3,13.507395,0.120855,27,2,0.530435,4
3.044836,0.017945,0.523126,0.257744,0.967329,0.179691,0.950846,0.002532,3,6.948985,0.039245,26,1,0.42562,0.285236,0.900243,0.021898,0.888889,0.009999,3,12.287661,1.497011,28.5,0.5,0.608696,4
3.084836,0.019326,0.528662,0.251526,0.939956,0.162031,0.937969,0.002011,4,6.884784,0.3028,25,1.414214,0.446934,0.283701,0.892944,0.043796,0.882604,0.009789,4,11.624042,0.578398,25.666667,2.867442,0.582609,4
3.124837,0.020706,0.5163,0.248163,0.937307,0.148786,0.930022,0.00653,4,7.12379,0.216029,24.666667,1.247219,0.428808,0.293058,0.885645,0.019465,0.874088,0.007171,4,12.186933,0.494868,24.666667,3.771236,0.569565,4
3.164837,0.022087,0.508397,0.241303,0.922296,0.141722,0.915453,0.004892,4,7.029028,0.332332,26.333333,2.054805,0.417616,0.298416,0.890511,0.024331,0.86983,0.015627,4,11.47362,2.888284,26.333333,3.299832,0.66087,0
3.204838,0.023467,0.441722,0.234959,0.901104,0.131126,0.898749,0.001814,3,7.394814,0.036791,26.5,1.5,0.366156,0.283273,0.875912,0.009732,0.854015,0.015768,3,13.729688,0.347683,29,0,0.817391,0
3.244838,0.024847,0.475567,0.243026,0.90287,0.143488,0.894702,0.00647,4,7.161716,0.455174,26.333333,2.494438,0.413917,0.291471,0.854015,0.021898,0.843066,0.00779,4,11.020221,2.4806,26.666667,2.054805,0.791304,0
3.284839,0.026228,0.452177,0.249396,0.888742,0.130243,0.887859,0.001081,4,6.721998,0.954574,27.666667,1.247219,0.391217,0.301151,0.854015,0.007299,0.844282,0.012084,3,13.781505,0.325048,26.5,2.5,0.791304,0
3.324839,0.027608,0.411461,0.23512,0.886093,0.114349,0.883149,0.002203,3,7.382364,0.022924,29,2,0.370779,0.281773,0.873479,0.007299,0.854826,0.014094,3,13.646673,0.381267,29.5,1.5,0.804348,0
3.36484,0.028989,0.443223,0.252019,0.883444,0.124062,0.879249,0.003714,4,7.273735,0.162229,27.333333,1.699673,0.402263,0.298761,0.885645,0.004866,0.85219,0.026674,4,11.532436,3.289079,27,1.632993,0.765217,0
3.40484,0.030369,0.42649,0.23556,0.887859,0.122296,0.879912,0.001249,3,7.321736,0.014406,27.5,1.5,0.363723,0.284622,0.856448,0.007299,0.839416,0.012406,3,13.318349,0.823489,25.5,2.5,0.869565,0
3.44484,0.03175,0.445121,0.242689,0.883444,0.132009,0.879912,0.0026,3,7.335041,0.050459,28.5,1.5,0.396375,0.28596,0.861314,0.007299,0.844282,0.012406,3,13.032239,0.773527,25.5,2.5,0.908696,0
3.484841,0.03313,0.43781,0.255269,0.889625,0.117881,0.881015,0.006066,4,6.850913,0.985129,29,2.160247,0.405474,0.304632,0.895377,0.007299,0.868005,0.019417,4,11.03661,3.365844,29,0.816497,0.556522,0
3.524842,0.03451,0.412812,0.234582,0.891391,0.122296,0.885504,0.004225,3,7.405553,0.062996,29,1,0.369148,0.281773,0.832117,0.004866,0.824007,0.01147,3,13.702626,1.285556,29,1,0.765217,0
3.564842,0.035891,0.44672,0.246817,0.881678,0.142605,0.879249,0.002603,4,7.220215,0.173461,27.333333,2.357023,0.402871,0.293358,0.86618,0.014599,0.838808,0.018238,4,11.659088,3.051548,29,0,0.830435,0
3.604842,0.037271,0.410631,0.237228,0.884327,0.116115,0.883149,0.000833,3,7.461948,0.023605,28,0,0.35562,0.28154,0.829684,0.009732,0.825629,0.005735,3,14.372253,0.45173,28.5,0.5,0.673913,0
3.644843,0.038652,0.440424,0.252551,0.886976,0.132892,0.880795,0.004188,4,7.147746,0.436722,28.666667,0.942809,0.418419,0.29063,0.883212,0.009732,0.850365,0.022465,4,10.267134,3.014438,29,0,0.713043,0
3.684843,0.040032,0.42996,0.237875,0.88521,0.125828,0.881383,0.004224,3,7.301061,0.079647,29.5,0.5,0.362044,0.289893,0.871046,0.009732,0.830495,0.004588,3,13.992436,0.73718,26.5,1.5,0.804348,0
3.724844,0.041412,0.428088,0.245766,0.883444,0.126711,0.881972,0.001501,3,7.418163,0.017171,28.5,1.5,0.392068,0.282341,0.858881,0.012165,0.832928,0.018459,3,13.516229,0.648415,28.5,1.5,0.882609,0
3.764844,0.042793,0.42823,0.244365,0.884327,0.12053,0.883738,0.000416,3,7.30252,0.066871,28.5,0.5,0.372944,0.293395,0.829684,0.007299,0.82644,0.003035,3,14.533162,0.047171,28,3,0.673913,0
3.804845,0.044173,0.421483,0.242562,0.884327,0.118764,0.879029,0.003815,3,7.444605,0.050042,27,2,0.387226,0.277767,0.844282,0.007299,0.824007,0.014644,3,13.214599,1.095521,26,3,0.908696,0
3.844845,0.045554,0.449386,0.249281,0.889625,0.123179,0.882855,0.004907,3,7.407475,0.052965,28.5,0.5,0.387664,0.300827,0.846715,0.009732,0.832725,0.009165,4,11.57902,3.610305,29,1.632993,0.778261,0
3.884846,0.046934,0.410313,0.234321,0.877263,0.123179,0.876674,0.000833,3,7.418048,0.039831,29,0,0.373017,0.281462,0.856448,0.004866,0.851582,0.005256,3,13.539757,1.045377,28.5,0.5,0.647826,0
3.924846,0.048315,0.441289,0.250982,0.88521,0.116998,0.879691,0.003267,4,6.869605,0.847817,29,0,0.394282,0.293343,0.836983,0.009732,0.832117,0.003847,4,11.926751,3.533764,29.666667,0.942809,0.7,0
3.964847,0.049695,0.443859,0.25132,0.888742,0.130243,0.883444,0.005619,4,6.973854,0.547279,23.666667,6.182412,0.422895,0.293673,0.885645,0.017032,0.857056,0.018238,4,11.279884,3.33178,22.666667,5.312459,0.634783,0
4.004847,0.051075,0.412203,0.232307,0.882561,0.123179,0.876968,0.006699,3,7.446467,0.056122,26.5,1.5,0.361971,0.284344,0.958638,0.009732,0.872668,0.061307,3,12.956119,0.8172,27,0,0.673913,0
4.044847,0.052456,0.440503,0.252377,0.881678,0.12053,0.878322,0.00233,5,7.16192,0.553412,26.666667,2.494438,0.419878,0.285952,0.854015,0.009732,0.835158,0.011716,4,10.815416,3.22126,27.666667,3.299832,0.765217,0
4.084848,0.053836,0.461007,0.23909,0.884327,0.127594,0.879029,0.005111,4,6.964102,0.413179,27.666667,0.942809,0.394355,0.291559,0.854015,0.021898,0.840633,0.011477,4,11.203427,3.135406,26,2.160247,0.895652,0
4.124848,0.055217,0.413828,0.234083,0.886093,0.123179,0.883444,0.002599,3,7.38455,0.055767,28,0,0.354964,0.286592,0.90511,0.007299,0.855637,0.035109,3,13.317414,0.683084,25,3,0.7,0
4.164849,0.056597,0.447064,0.247865,0.884327,0.123179,0.878587,0.003667,4,6.845209,0.854854,27.333333,1.247219,0.41545,0.286647,0.861314,0.014599,0.847526,0.010941,3,12.762059,0.998206,25.5,1.5,0.934783,0
4.204849,0.057977,0.452521,0.247023,0.889625,0.121413,0.882561,0.004956,4,7.182185,0.296919,26.666667,1.885618,0.413844,0.295829,0.861314,0.007299,0.845499,0.011605,4,11.810626,2.894147,26.666667,1.699673,0.882609,0
4.24485,0.059358,0.42604,0.235048,0.886093,0.124062,0.883444,0.003143,3,7.333782,0.010268,27.5,4.5,0.366058,0.287016,0.854015,0.014599,0.832117,0.015768,3,13.071991,0.573737,25.5,0.5,0.869565,0
4.284851,0.060738,0.448132,0.239281,0.886093,0.124062,0.880795,0.006878,3,7.271837,0.074164,26,2,0.396496,0.288285,0.841849,0.009732,0.832117,0.006882,3,13.214567,0.316381,26,3,0.921739,0
4.324851,0.062119,0.447064,0.246281,0.879029,0.134658,0.877483,0.000962,4,7.313026,0.094965,25.666667,0.471405,0.417883,0.286322,0.873479,0.007299,0.832117,0.024452,4,12.923146,0.713696,26.333333,1.699673,0.856522,0
4.364851,0.063499,0.457536,0.242127,0.882561,0.123179,0.881236,0.000987,4,7.203938,0.192978,26.333333,1.699673,0.40056,0.297568,0.844282,0.009732,0.833942,0.006962,4,11.574133,3.09949,26,2.828427,0.856522,0
4.404852,0.064879,0.447576,0.242423,0.887859,0.126711,0.882266,0.005115,3,7.337097,0.017017,26.5,1.5,0.384574,0.287602,0.849148,0.012165,0.821573,0.012617,3,13.178357,0.193323,28,1,0.908696,0
4.444852,0.06626,0.428539,0.229737,0.888742,0.139956,0.884327,0.004502,3,7.386043,0.039188,26.5,2.5,0.362019,0.282947,0.836983,0.007299,0.823196,0.0098,3,12.94216,0.027521,25,3,0.804348,0
4.484853,0.06764,0.455682,0.241842,0.886093,0.127594,0.880353,0.003667,4,7.11954,0.310934,26,2.160247,0.408565,0.279136,0.86618,0.007299,0.828467,0.023746,4,11.338467,2.575438,26.333333,2.357023,0.882609,0
4.524853,0.069021,0.44747,0.245758,0.886976,0.128477,0.87947,0.005353,4,7.265867,0.102409,26,1.414214,0.412579,0.283851,0.861314,0.009732,0.8309,0.018886,4,12.487621,1.677586,24.666667,3.858612,0.895652,0
4.564854,0.070401,0.459046,0.240722,0.883444,0.132009,0.880132,0.003145,4,6.771611,0.824627,27,0.816497,0.391241,0.297785,0.861314,0.009732,0.831509,0.017577,4,11.530356,3.396534,27.333333,3.091206,0.882609,0
4.604854,0.071782,0.425828,0.229584,0.877263,0.12936,0.877263,0,3,7.308384,0.047661,26.5,0.5,0.376983,0.285341,0.861314,0.012165,0.85807,0.003035,3,13.293549,0.527633,27,0,0.73913,0
4.644855,0.073162,0.452053,0.240503,0.88521,0.137307,0.881383,0.002532,3,7.302964,0.012832,25.5,1.5,0.390487,0.288234,0.863747,0.004866,0.843471,0.022152,3,12.783449,0.189597,28,1,0.908696,0
4.684855,0.074542,0.443196,0.249144,0.886093,0.130243,0.880353,0.005243,4,7.314699,0.094028,25.666667,0.942809,0.420511,0.288029,0.868613,0.014599,0.843066,0.018248,4,12.377756,1.599772,26.333333,1.699673,0.908696,0
4.724855,0.075923,0.458623,0.243361,0.888742,0.135541,0.884989,0.002367,4,6.94573,0.568408,26.666667,1.699673,0.389002,0.297729,0.858881,0.012165,0.8382,0.012226,4,11.369616,3.105995,26.666667,2.054805,0.882609,0
4.764856,0.077303,0.42211,0.229804,0.882561,0.135541,0.881383,0.001101,3,7.349642,0.030233,26.5,0.5,0.362774,0.279595,0.839416,0.012165,0.82644,0.010941,3,13.298742,0.361694,28,1,0.804348,0
4.804856,0.078684,0.454181,0.240596,0.88521,0.139956,0.8805,0.004405,3,7.342736,0.047565,27.5,0.5,0.395791,0.287468,0.849148,0.014599,0.836172,0.009388,3,12.746077,0.176517,27,3,0.908696,0
4.844857,0.080064,0.448044,0.248161,0.891391,0.134658,0.884106,0.005457,4,7.313441,0.07745,26.333333,0.471405,0.410316,0.28689,0.858881,0.014599,0.838808,0.014433,4,12.583573,0.502501,26.333333,2.054805,0.882609,0
4.884858,0.081444,0.460406,0.240106,0.886093,0.140839,0.877263,0.007723,4,7.225551,0.322036,27.333333,2.494438,0.3991,0.297279,0.839416,0.014599,0.8309,0.00779,4,11.533465,2.605228,26.666667,2.867442,0.830435,0
4.924858,0.082825,0.442216,0.242375,0.889625,0.126711,0.882266,0.001814,3,7.362616,0.050296,26.5,1.5,0.378978,0.289374,0.863747,0.014599,0.840227,0.016896,3,12.696698,0.102567,26.5,3.5,0.908696,0
4.964859,0.084205,0.460786,0.249153,0.883444,0.124062,0.879029,0.003605,3,7.37824,0.082526,25.5,0.5,0.423844,0.288864,0.858881,0.012165,0.825629,0.008271,3,12.945524,0.653784,25,1,0.882609,0
5.004859,0.085586,0.431082,0.230442,0.886093,0.135541,0.881972,0.003629,3,7.303621,0.096918,25.5,1.5,0.3791,0.281505,0.854015,0.012165,0.845093,0.006386,3,13.229747,0.555903,27,0,0.882609,0
5.044859,0.086966,0.445934,0.244373,0.890508,0.127594,0.884327,0.004728,3,7.337183,0.025037,26,2,0.391533,0.284025,0.846715,0.009732,0.830495,0.01164,3,13.181094,0.215281,28.5,0.5,0.882609,0
5.08486,0.088347,0.446137,0.248368,0.883444,0.131126,0.880795,0.001974,4,7.282821,0.05069,26.333333,1.699673,0.411411,0.286194,0.863747,0.014599,0.832725,0.019569,4,12.384562,1.579947,26.333333,2.867442,0.934783,0
5.12486,0.089727,0.457792,0.241259,0.886976,0.132892,0.879617,0.006542,3,7.302399,0.043258,28,1,0.390925,0.298482,0.900243,0.012165,0.853204,0.033262,3,13.640653,0.313858,27,3,0.778261,0
5.164861,0.091107,0.416353,0.22973,0.883444,0.128477,0.880206,0.002318,3,7.382839,0.053249,27.5,0.5,0.360827,0.277078,0.829684,0.012165,0.821573,0.0098,3,13.831735,0.189865,27,4,0.713043,0
5.204861,0.092488,0.443841,0.250605,0.886976,0.123179,0.881898,0.003868,4,7.33465,0.067373,28,1.414214,0.415037,0.282782,0.844282,0.014599,0.828467,0.015436,4,12.304272,1.362055,27.333333,1.247219,0.908696,0
5.244862,0.093868,0.453934,0.242328,0.883444,0.127594,0.87638,0.005199,3,7.335453,0.018672,28,0,0.385718,0.295734,0.836983,0.012165,0.825426,0.009002,4,11.474016,3.757487,27.666667,2.054805,0.804348,0
5.284862,0.095249,0.417077,0.231925,0.886976,0.123179,0.882855,0.005216,3,7.406446,0.042396,28.5,1.5,0.361679,0.276727,0.832117,0.007299,0.824818,0.008659,3,13.494755,0.35512,27.5,3.5,0.73913,0
5.324862,0.096629,0.448698,0.247052,0.880795,0.121413,0.878146,0.001873,4,7.033712,0.634503,26.666667,0.471405,0.415839,0.279832,0.846715,0.004866,0.831509,0.013368,4,11.089518,3.014172,26.666667,1.885618,0.869565,0
5.364863,0.098009,0.454384,0.246863,0.881678,0.119647,0.879029,0.001652,4,7.159765,0.367884,27,0.816497,0.394501,0.295893,0.861314,0.004866,0.836375,0.017828,4,11.518148,3.00564,27,0.816497,0.804348,0
5.404863,0.09939,0.413607,0.232335,0.883444,0.125828,0.881383,0.001814,3,7.340945,0.06315,27.5,0.5,0.354964,0.281626,0.856448,0.009732,0.846715,0.012084,3,13.406753,0.092801,29,1,0.791304,0
5.444864,0.10077,0.440141,0.25245,0.886976,0.124062,0.881678,0.004728,3,7.307572,0.045486,27,0,0.407324,0.28502,0.868613,0.009732,0.847526,0.020389,3,12.880973,0.283897,29,1,0.856522,0
5.484865,0.102151,0.456486,0.243836,0.888742,0.140839,0.883002,0.00407,4,6.847256,0.761973,27.666667,1.247219,0.386034,0.294442,0.827251,0.014599,0.819951,0.00807,4,11.554409,3.302292,28.333333,1.247219,0.869565,0
5.524865,0.103531,0.411585,0.231963,0.882561,0.119647,0.880795,0.001442,3,7.34871,0.008268,26,0,0.35292,0.278962,0.844282,0.009732,0.83455,0.010512,3,13.563029,0.322607,25.5,1.5,0.804348,0
5.564866,0.104912,0.441263,0.253189,0.88521,0.121413,0.881678,0.003122,4,7.357767,0.068385,27,0.816497,0.414842,0.283485,0.844282,0.012165,0.832725,0.008667,4,12.625928,1.396214,27.333333,2.494438,0.921739,0
5.604866,0.106292,0.454322,0.244157,0.882561,0.123179,0.880795,0.001908,3,7.348862,0.086148,28,1,0.378078,0.298721,0.863747,0.012165,0.823196,0.003035,3,13.300211,0.330764,29,1,0.843478,0
5.644866,0.107672,0.421475,0.227085,0.882561,0.132892,0.880206,0.001814,3,7.286109,0.00857,27.5,0.5,0.371679,0.278986,0.839416,0.012165,0.824007,0.014094,3,13.939829,0.613012,29,1,0.791304,0
5.684867,0.109053,0.44234,0.251159,0.886093,0.123179,0.881898,0.003145,4,7.291792,0.046789,27,1.414214,0.40781,0.284233,0.832117,0.007299,0.824818,0.007499,4,12.447215,1.711349,27,2.160247,0.882609,0
5.724867,0.110433,0.458093,0.240089,0.884327,0.139956,0.876085,0.006003,3,7.277425,0.100366,27,1,0.386472,0.297793,0.86618,0.014599,0.839416,0.016047,4,11.233267,3.607085,27,2.94392,0.843478,0
5.764868,0.111814,0.415276,0.228876,0.886976,0.135541,0.881383,0.006132,3,7.316854,0.078495,27.5,2.5,0.356861,0.280665,0.829684,0.009732,0.822385,0.010323,3,13.722149,0.657232,27,3,0.73913,0
5.804868,0.113194,0.441589,0.254298,0.889625,0.124945,0.884547,0.003267,4,7.366198,0.058515,27.333333,2.494438,0.421874,0.287514,0.873479,0.009732,0.846107,0.016446,4,12.085086,2.262536,28.333333,1.885618,0.895652,0
5.844869,0.114574,0.458243,0.243591,0.88521,0.124062,0.87844,0.004908,3,7.311765,0.040601,27,3,0.395426,0.301336,0.871046,0.014599,0.85584,0.013696,4,11.173529,3.393375,26.333333,2.054805,0.843478,0
5.884869,0.115955,0.415629,0.231247,0.886093,0.123179,0.881678,0.003605,3,7.38316,0.039705,26.5,2.5,0.365353,0.287079,0.868613,0.009732,0.861314,0.008659,3,13.29229,0.355667,28.5,2.5,0.791304,0
5.92487,0.117335,0.453024,0.244643,0.88521,0.133775,0.880353,0.003448,4,7.270516,0.099162,26.666667,1.247219,0.412117,0.285572,0.836983,0.017032,0.832725,0.006052,4,11.873385,1.435401,26.333333,2.867442,0.96087,0
5.96487,0.118716,0.444583,0.240059,0.879912,0.135541,0.875791,0.003407,3,7.319292,0.074437,26,1,0.374964,0.298349,0.873479,0.014599,0.84996,0.028258,3,13.218526,0.150744,26,1,0.830435,0
6.00487,0.120096,0.427444,0.232668,0.888742,0.117881,0.88521,0.004385,3,7.2824,0.059035,26,3,0.373431,0.282229,0.854015,0.012165,0.841849,0.009104,3,13.190308,0.169194,27.5,2.5,0.843478,0
6.044871,0.121476,0.442437,0.250089,0.886093,0.116998,0.881015,0.003868,4,7.325514,0.138649,27,1.632993,0.418978,0.282678,0.841849,0.009732,0.835767,0.004386,4,12.618725,1.455908,26.333333,2.494438,0.908696,0
6.084872,0.122857,0.461236,0.241418,0.884327,0.124062,0.877439,0.006077,5,7.173093,0.314902,25.666667,1.699673,0.400024,0.293322,0.868613,0.014599,0.833333,0.021523,4,11.77921,2.940675,25.333333,2.624669,0.830435,0
6.124872,0.124237,0.426464,0.234569,0.888742,0.123179,0.883738,0.0037,3,7.321702,0.035416,28,1,0.371484,0.285309,0.86618,0.012165,0.836172,0.01147,3,13.42888,0.240054,29.5,0.5,0.843478,0
6.164873,0.125618,0.445157,0.242534,0.88521,0.132009,0.882855,0.002203,3,7.295799,0.080278,28,1,0.393917,0.28249,0.846715,0.012165,0.832117,0.01192,3,12.723758,0.878237,26,2,0.934783,0
