# date time,time scale,cur mean,cur std,cur max,cur min,cur peak mean,cur peak std,cur peak count,cur peak width mean,cur peak width std,cur gap mean,cur gap std, vol mean,vol std,vol max,vol min,vol peak mean,vol peak std,vol peak count,vol peak width mean,vol peak width std,vol gap mean,vol gap std,score,label
2.938049,0.000000,0.493043,0.269435,0.840517,0.017241,0.839655,0.000862,2.000000,24.916746,18.869142,11.000000,0.000000,0.253649,0.235095,0.874408,0.021327,0.704976,0.027251,2.000000,17.631587,10.677046,0.000000,0.000000,0.217391,4.000000
2.978050,0.002103,0.492603,0.275056,0.993966,0.213793,0.910345,0.109119,3.000000,6.904880,0.235775,25.000000,12.000000,0.454550,0.303010,0.990521,0.037915,0.966825,0.025595,3.000000,11.669193,4.299262,26.000000,3.000000,0.439130,4.000000
3.018050,0.004206,0.576862,0.234190,0.987069,0.242241,0.984483,0.001862,3.000000,6.823239,0.231091,28.000000,2.000000,0.389550,0.310748,0.957346,0.047393,0.950237,0.006976,3.000000,11.854745,0.104275,29.500000,0.500000,0.569565,4.000000
3.058051,0.006309,0.591698,0.259188,0.996552,0.242241,0.993678,0.002472,3.000000,7.016441,0.014033,27.000000,2.000000,0.462156,0.310183,0.995261,0.047393,0.984202,0.015639,3.000000,8.883278,0.110547,27.500000,0.500000,0.478261,4.000000
3.098052,0.008412,0.595483,0.252425,1.000000,0.242241,0.993750,0.003873,4.000000,6.721351,0.262467,28.000000,0.000000,0.464929,0.314737,1.000000,0.061611,0.977488,0.017292,4.000000,9.047675,2.128527,27.666667,0.471405,0.478261,4.000000
3.138052,0.010515,0.561422,0.253371,0.994828,0.243103,0.991954,0.002032,3.000000,7.024339,0.048504,28.500000,2.500000,0.426256,0.285624,0.950237,0.045024,0.943128,0.005119,3.000000,13.058704,0.809697,27.000000,2.000000,0.621739,4.000000
3.178053,0.012619,0.582759,0.259538,0.994828,0.242241,0.992457,0.002311,4.000000,6.867175,0.269348,28.333333,0.942809,0.469810,0.295422,0.969194,0.061611,0.938981,0.019351,4.000000,11.182723,3.013038,28.666667,0.942809,0.543478,4.000000
3.218054,0.014722,0.579931,0.251178,0.998276,0.241379,0.995115,0.002845,3.000000,6.971834,0.084904,26.500000,0.500000,0.419597,0.284724,0.924171,0.045024,0.909953,0.011609,3.000000,13.043768,0.542741,25.500000,1.500000,0.647826,4.000000
3.258054,0.016825,0.590974,0.253884,0.997414,0.242241,0.985345,0.004396,3.000000,7.015284,0.081285,26.500000,1.500000,0.440284,0.291844,0.940758,0.047393,0.921011,0.009929,3.000000,12.691692,0.244611,26.500000,2.500000,0.569565,4.000000
3.298055,0.018928,0.586405,0.254661,0.991379,0.243103,0.988793,0.003554,4.000000,6.879324,0.258946,27.000000,1.414214,0.450142,0.293712,0.940758,0.042654,0.909953,0.019031,4.000000,11.133696,3.012091,26.666667,2.624669,0.543478,4.000000
3.338056,0.021031,0.600026,0.246663,0.980172,0.243966,0.977011,0.003326,3.000000,6.917657,0.022945,26.500000,1.500000,0.436256,0.291497,0.924171,0.040284,0.906793,0.013590,3.000000,13.139038,0.364839,26.500000,2.500000,0.569565,4.000000
3.378056,0.023134,0.566776,0.243966,0.976724,0.221552,0.970115,0.005646,3.000000,6.838908,0.019553,24.500000,1.500000,0.424905,0.278874,0.909953,0.028436,0.900474,0.011769,3.000000,12.328119,0.277931,25.000000,1.000000,0.647826,4.000000
3.418057,0.025237,0.566362,0.247612,0.957759,0.208621,0.954598,0.001465,3.000000,6.922404,0.021809,25.500000,0.500000,0.468223,0.280960,0.924171,0.047393,0.897314,0.019381,3.000000,11.510541,1.110568,25.500000,2.500000,0.608696,4.000000
3.458058,0.027340,0.526379,0.243745,0.948276,0.190517,0.941379,0.005076,3.000000,7.058172,0.067755,26.000000,1.000000,0.415024,0.275258,0.874408,0.028436,0.872828,0.002234,3.000000,11.969193,0.864743,25.000000,2.000000,0.660870,0.000000
3.498058,0.029443,0.524198,0.245611,0.941379,0.176724,0.931897,0.007030,4.000000,6.957449,0.300855,26.000000,2.160247,0.439597,0.279890,0.872038,0.040284,0.861374,0.009552,4.000000,10.921524,1.797283,26.333333,1.699673,0.660870,0.000000
3.538059,0.031546,0.505905,0.243255,0.917241,0.162069,0.916164,0.000939,4.000000,7.197709,0.196478,26.666667,1.247219,0.431019,0.282147,0.876777,0.026066,0.859597,0.012010,4.000000,11.092515,2.474895,26.666667,3.399346,0.660870,0.000000
3.578060,0.033649,0.499017,0.236317,0.912069,0.159483,0.906322,0.004580,3.000000,7.351699,0.056204,26.000000,2.000000,0.400711,0.294015,0.860189,0.014218,0.852291,0.006795,3.000000,13.363112,0.296340,26.000000,3.000000,0.791304,0.000000
3.618060,0.035753,0.455448,0.224924,0.899138,0.150862,0.895977,0.003877,3.000000,7.327703,0.043615,26.000000,0.000000,0.387915,0.273319,0.855450,0.014218,0.849921,0.004028,3.000000,12.592822,0.555954,28.000000,1.000000,0.869565,0.000000
3.658061,0.037856,0.478776,0.236501,0.896552,0.153448,0.891379,0.006065,4.000000,6.739128,0.985477,26.333333,1.699673,0.415877,0.279375,0.838863,0.021327,0.830964,0.005911,3.000000,13.002438,0.867137,26.500000,3.500000,0.934783,0.000000
