# date time,time scale,cur mean,cur std,cur max,cur min,cur peak mean,cur peak std,cur peak count,cur peak width mean,cur peak width std,cur gap mean,cur gap std, vol mean,vol std,vol max,vol min,vol peak mean,vol peak std,vol peak count,vol peak width mean,vol peak width std,vol gap mean,vol gap std,score,label
3.391647,0.000000,0.484022,0.274300,0.835449,0.007002,0.835449,0.000000,2.000000,44.480726,0.000000,21.000000,0.000000,0.258531,0.239167,0.725118,0.026066,0.725118,0.000000,1.000000,29.060533,0.000000,0.000000,0.000000,0.191304,4.000000
3.431647,0.001762,0.465068,0.284911,1.000000,0.192998,0.996207,0.004758,3.000000,6.846969,0.169686,29.500000,0.500000,0.503365,0.304869,0.971564,0.040284,0.947077,0.009738,3.000000,13.546767,4.752584,28.000000,1.000000,0.530435,4.000000
3.471648,0.003525,0.521751,0.258158,0.991247,0.228884,0.988913,0.001650,3.000000,7.065530,0.041741,29.500000,1.500000,0.476303,0.276902,0.952607,0.075829,0.948657,0.002955,3.000000,14.486635,4.511131,30.000000,4.000000,0.373913,4.000000
3.511648,0.005287,0.581383,0.253312,0.993873,0.234136,0.990956,0.002063,3.000000,6.710197,0.211900,30.500000,0.500000,0.424976,0.335690,1.000000,0.035545,0.977883,0.015639,3.000000,11.021181,1.275701,31.000000,0.000000,0.439130,4.000000
3.551649,0.007049,0.557829,0.247446,0.989497,0.233260,0.986579,0.002183,3.000000,7.013711,0.015248,27.000000,1.000000,0.412891,0.302749,0.997630,0.033175,0.980253,0.012883,3.000000,9.852086,1.666462,28.500000,0.500000,0.556522,4.000000
3.591650,0.008811,0.586074,0.259386,0.994748,0.228009,0.989847,0.003779,5.000000,6.940929,0.252804,26.000000,1.414214,0.455640,0.308071,0.978673,0.059242,0.958531,0.011907,4.000000,10.979338,2.770633,27.666667,0.471405,0.426087,4.000000
3.631650,0.010574,0.560280,0.252315,0.996499,0.227133,0.992706,0.003667,3.000000,7.045983,0.030243,27.000000,2.000000,0.403152,0.291077,0.964455,0.049763,0.942338,0.015758,3.000000,12.760457,0.703868,29.000000,1.000000,0.608696,4.000000
3.671651,0.012336,0.569996,0.267699,0.991247,0.232385,0.986433,0.003987,4.000000,6.716159,0.487354,27.333333,1.699673,0.467536,0.286524,0.928910,0.037915,0.912322,0.016159,4.000000,10.335345,3.059947,28.333333,0.471405,0.439130,4.000000
3.711651,0.014098,0.591948,0.253007,0.993873,0.227133,0.984829,0.006485,3.000000,6.909075,0.237063,26.500000,0.500000,0.431872,0.295291,0.938389,0.040284,0.928910,0.006976,3.000000,11.602317,1.921579,30.000000,1.000000,0.504348,4.000000
3.751652,0.015860,0.573217,0.249235,0.997374,0.227133,0.991247,0.005003,3.000000,6.994048,0.059224,28.000000,0.000000,0.410735,0.285029,0.931279,0.035545,0.904423,0.019380,3.000000,12.633234,0.175078,28.500000,2.500000,0.608696,4.000000
3.791652,0.017623,0.578880,0.264903,0.997374,0.228009,0.993217,0.002427,4.000000,6.840744,0.274342,27.000000,0.816497,0.445877,0.284704,0.933649,0.054502,0.902844,0.020522,4.000000,10.347417,1.535357,25.000000,3.559026,0.517391,4.000000
3.831653,0.019385,0.596972,0.250419,0.992998,0.230635,0.984245,0.006352,3.000000,6.749603,0.232883,27.000000,0.000000,0.411517,0.294085,0.893365,0.035545,0.885466,0.009544,3.000000,12.959124,0.391813,29.500000,0.500000,0.504348,4.000000
3.871653,0.021147,0.546249,0.251093,0.984245,0.222757,0.978410,0.004188,3.000000,6.819415,0.050657,27.000000,2.000000,0.383199,0.274857,0.883886,0.028436,0.880727,0.002234,3.000000,13.107339,0.326618,29.000000,0.000000,0.608696,4.000000
3.911654,0.022910,0.547098,0.261289,0.967615,0.204376,0.963457,0.005265,4.000000,6.768585,0.171310,26.333333,1.699673,0.437133,0.276095,0.926540,0.021327,0.868720,0.033128,5.000000,10.536296,1.824931,27.000000,2.160247,0.478261,4.000000
3.951654,0.024672,0.550144,0.248055,0.950109,0.189497,0.945733,0.003228,5.000000,6.751011,0.186602,26.666667,0.942809,0.406114,0.281302,0.860190,0.023697,0.850711,0.015080,4.000000,11.107814,3.094065,27.000000,2.449490,0.595652,4.000000
3.991655,0.026434,0.502818,0.239048,0.934355,0.163239,0.927644,0.005364,3.000000,8.522865,1.904093,28.500000,1.500000,0.373555,0.282731,0.867299,0.018957,0.845182,0.016681,3.000000,13.841124,1.777567,31.000000,4.000000,0.582609,4.000000
